naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela
POMOČ PRI PRODAJI (DELO V TRGOVINI),"5,07",KRANJSKA GORA,"Podjetje išče več polnoletnih oseb za delo v trgovini (blagajna in polnjenje polic). Nedeljska urna postavka je 7,20 Ă˘Â‚Â¬ bruto.",2, DLJE ČASA (OBČASNO), Po dogovoru,307959, začasno in občasno delo

PROMOCIJA,"5,15",DOLGI MOST/VIČ PRI LJUBLJANI IN LJ MOSTE,"Promocija in edukacija kupcev na novih samopostrežnih bencinskih postajah: razlaga delovanja točilnih avtomatov, pomoč pri plačilu s kartico, komunikacija s strankami....NE točite goriva! Delo bo potekalo od  04.11. do 29.11., od 12. do 19. ure. Nedelje so proste. Želijo komunikativne, ustrežljive osebe z izkušnjami v promociji.",2, DO VKLJUČNO 29.11.2019, Popoldan,307956, začasno in občasno delo

PROJEKTIRANJE,"6,00",LJUBLJANA,"Podjetje išče študenta elektrotehnike. Delo obsega izdelavo načrtov, shem, tekstualnega dela in zlaganje načrtov.  Pogoj je osnovno znanje Acad-a, MS office. Sčasoma možnost večje urne postavke.",1, DLJE ČASA (OBČASNO), Dopoldan,307690, začasno in občasno delo

ČIŠČENJE,"5,00",INDUSTRIJSKA CONA KOMENDA,Čiščenje (pranje in sesanje) kombijev in kamionov ob sobotah ter pranje in čiščenje orodja. Vsaka sobota od 7 oz. 8 ure zjutraj dalje.,1," DLJE ČASA (OBČASNO), VSAKA SOBOTA", Dopoldan,307689, začasno in občasno delo

PRODAJA,"5,07",KAMNIK (QLANDIA),"Aktivna prodaja pakiranih slaščic, delo z blagajno in strankami. Zahtevana je prodajno usmerjena komunikativnost - doseganje plana prodaje. Gre za  prodajo v popoldanskem času., tudi vsako drugo soboto.",2, PO DOGOVORU, Popoldan,307688, začasno in občasno delo

POMOČ V STREŽBI,"5,00",LJUBEČNA,"Podjetje potrebuje polnoletno, vestno in komunikativno osebo za delo in pomoč v strežbi. Izkušnje niso pogoj za opravljanje dela. Delovni čas je po dogovoru in potrebi. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja.",1," DLJE ČASA (OBČASNO), PO DOGOVORU IN POTREBI", Izmensko,307687, začasno in občasno delo

POMOČ V KUHINJI,"5,50",LJUBLJANA,"Iščejo osebo za  pomoč v kuhinji, kuharskega pomočnika. Pogoj so izkušnje z delom v kuhinji. Zaželeno: izobrazba, smer gostinstvo - kuhar.",2, DLJE ČASA (OBČASNO), Izmensko,307686, začasno in občasno delo

DELO V PROIZVODNJI,"4,13",KRANJ,"Podjetje, ki se ukvarja z obdelavo kovin in proizvodnjo plastike išče osebo za delo v proizvodnji. Plačilo za popoldansko in nočno delo je višje.",2, PO DOGOVORU, Izmensko,307685, začasno in občasno delo

RAZVOZ (DOSTAVA HRANE),"5,00",LJUBLJANA,Podjetje išče osebo za razvoz hrane. Pogoj: polnoletnost in izpit B kategorije. Za več informacij pokliči.,1, DLJE ČASA (OBČASNO), Po dogovoru,307673, začasno in občasno delo

BLAGAJNIK (PRODAJA KART),"4,65",KRANJSKA GORA,Podjetje išče osebe za prodajo smučarskih vozovnic. Podjetje plača tudi polovico stroškov prevoza.,10, ZIMSKA SEZONA, Dopoldan,307672, začasno in občasno delo

STREŽBA HRANE IN PIJAČE,"5,50",LJUBLJANA CENTER,"Pomoč pri strežbi na hotelskih zajtrkih in občasno na dogodkih. Zaželene so izkušnje v strežbi, prijaznost, urejenost, pozitiven odnos do ljudi in do dela in predvsem ljubezen do gostinstva. Obvezno znanje angleščine oz. vsaj enega tujega jezika. Poleg plačila je zagotovljen tudi topel obrok.",2, DLJE ČASA (OBČASNO), Dopoldan,307670, začasno in občasno delo

VULKANIZERSKA DELA (DELO V DELAVNICI),"5,85",SLOVENSKA BISTRICA,Podjetje potrebuje osebo za delo v vulkanizerski delavnici. Predhodno znanje ni potrebno.,1, PO DOGOVORU, Izmensko,307663, začasno in občasno delo

STREŽBA,"4,13",ZLATO POLJE,Potrebujejo polnoletno osebo za strežbo v lokalu na bencinskem servisu. Obvezne izkušnje v strežbi. Stimulativno plačilo. Poleg urne postavke možna tudi stimulacija.,4, ZA DLJE ČASA (OBČASNO), Izmensko,307370, začasno in občasno delo

KLICNI CENTER,"5,00",LJUBLJANA,"Podjetje potrebuje več odgovornih, polnoletnih in resnih oseb za delo v klicnem centru - za sprejem klicev s strani strank. Vikendi so prosti.  Predhodne izkušnje niso potrebne. Delo poteka v mladem in dinamičnem kolektivu. Prijavo pošlji na e-naslov.",3, DLJE ČASA (OBČASNO), Izmensko,307365, začasno in občasno delo

POMOČ V KUHINJI,"4,80",KRANJ,"Priprava hrane v kuhinji (burgerji, palačinke, pice, tortilije itd.), sčasoma tudi pomoč pri delu v trgovini in na blagajni. Pogoji: starost nad 18 let, natančnost in urejenost. Če si poln/a pozitivne energije in delovnega zagona pokliči ali se prijavi na e-mail.",1, DLJE ČASA (OBČASNO), Izmensko,307362, začasno in občasno delo

INŠTRUKCIJE,"7,10",DOMŽALE,"Inštruiranje  fizike, elektrotehnike ali mehanike za osnovnošolce, gimnazijce/srednješolce ter priprava na maturo. Od študenta/ke pričakujejo dobro organiziranost, natančnost, zanesljivost, visoko mero odgovornosti ter sposobnost za samostojno in timsko delo. Zaželeno da je kandidat/ka iz Domžal ali okolice (lasten prevoz).",1, DLJE ČASA (OBČASNO), Popoldan,307356, začasno in občasno delo

STREŽBA,"5,00",TREBNJE,"Delo v piceriji, v prijetnem kolektivu. Delovne izkušnje niso potrebne.",1, DLJE ČASA (OBČASNO), Med vikendom,307351, začasno in občasno delo

POMOČ PRI PRODAJI,"4,13",MARIBOR,Podjetje potrebuje tri osebe za delo na blagajni. Nedeljska urna postavka je 6 Ă˘Â‚Â¬ bruto/h.,3, DLJE ČASA (OBČASNO), Izmensko,307342, začasno in občasno delo

TEHNIČNA POMOČ (IT PODPORA),"5,07",MARIBOR,"Želiš podrobneje spoznati delovanje najsodobnejših informacijsko-komunikacijskih tehnologij, hkrati pa si komunikativen študent/ka, ki rad/a pomaga in mu/ji veliko pomenijo zadovoljni uporabniki? Pridobi izkušnje in dobro referenco na področju tehnične/informacijske podpore uporabnikom. Možnost stimulacije do 8,00 Ă˘Â‚Â¬ bruto/h. Prijavi se in CV s prošnjo in telefonsko številko, obvezno s pripisom Tehnična/informacijska pomoč uporabnikom MB.",2, DLJE ČASA (OBČASNO), Izmensko,307337, začasno in občasno delo

